Books,,,,,,
ISBN,Title,Author(s),Publisher,Year,Price,Category
60502935,Going Postal,Terry Pratchett,Harper,2005,$7.99 ,Fantasy
60540753,Patron Saint of Liars,Ann Patchett ,Harperperennial Library,2003,$13.95 ,Romance
60855925,The Color of Magic,Terry Pratchett,Harper,2005,$13.99 ,Fantasy
60934417,Bel Canto: A Novel,Ann Patchett,Perennial,2002,$13.95 ,Romance
60958332,The Language Instinct: How the Mind Creates Language,Steven Pinker ,Perennial,2000,$10.50 ,Science
60958405,Words and Rules: The Ingredients of Language,Steven Pinker ,Perennial,2000,$15.00 ,Science
61020648,Guards! Guards!,Terry Pratchett,Harper,2001,$7.99 ,Fantasy
61020656,Pyramids,Terry Pratchett,Harper,2001,$7.99 ,Fantasy
61092177,Small Gods,Terry Pratchett,Harper,1994,$7.99 ,Fantasy
61161721,Unseen Academicals,Terry Pratchett,Harper,2010,$7.99 ,Fantasy
66214750,Twelve Times Blessed,Jacquelyn Mitchard,HarperCollins,2003,$25.95 ,Literature & Fiction
71414339,"Investing in Fixer-Uppers : A Complete Guide to Buying Low, Fixing Smart, Adding Value, and Selling (or Renting) High",Jay P. Decima ,McGraw-Hill Trade,2003,$18.95 ,Accounting & Finance
72222743,A+ Certification All-in-One Exam Guide,Michael Meyers ,McGraw-Hill Osborne Media,2002,$59.99 ,Computer
72227710,How To Do Everything with Your Tablet PC,Bill Mann,McGraw-Hill Osborne Media,2003,$17.49 ,Computer
72227885,SQL Server 2000 for Experienced DBA's,Brian Knight,McGraw-Hill Osborne Media,2003,$34.99 ,Computer
72294337,Financial Markets & Corporate Strategy,Mark Grinblatt,McGraw-Hill/Irwin,2001,$122.50 ,Accounting & Finance
72294337,,Sheridan Titman,,,,
72315318,Analysis for Financial Management,Robert C. Higgins ,McGraw-Hill/Irwin,2000,$79.20 ,Accounting & Finance
130323519,Financial Reporting and Analysis ,Lawrence Revsine,Prentice Hall,2001,$126.67 ,Accounting & Finance
130323519,,Daniel W. Collins,,,,
130323519,,W. Bruce Johnson,,,,
130998516,Real World FPGA Design with Verilog,Ken Coffman ,Prentice Hall PTR,1999,$83.00 ,Computer
140077022,White Noise ,Don DeLillo,Penguin USA ,1991,$14.00 ,Literature & Fiction
142001740,The Secret Life of Bees,Sue Monk Kidd,Penguin USA ,2003,$14.00 ,Literature & Fiction
156006219,The Magician's Assistant,Ann Patchett ,Harvest Books,1998,$13.00 ,Romance
201615762,The Guru's Guide to Transact-SQL,Ken Henderson,Addison-Wesley Pub Co,2000,$38.49 ,Computer
262024829,Financial Modeling ,"Simon Benninga, Benjamin Czaczkes ",MIT Press,2000,$70.00 ,Accounting & Finance
262232197,Econometric Analysis of Cross Section and Panel Data,Jeffrey M. Wooldridge ,MIT Press,2001,$74.95 ,Accounting & Finance
262521415,Numerical Techniques in Finance,Simon Benninga ,MIT Press,1989,$35.00 ,Accounting & Finance
312243022,The Hours,Michael Cunningham,Picador,2000,$3.44 ,Literature & Fiction
312276702,Jinn: A Novel,Matthew Delaney,St. Martin's Press,2003,$24.95 ,Horror
312287941,The Girl in the Red Coat: A Memoir,Roma Ligocka,St. Martin's Press,2002,$25.95 ,Literature & Fiction
312311354,The Pianist,Wladyslaw Szpilman,Picador,2003,$13.00 ,Literature & Fiction
316096199,Lucky: A Memoir,Alice Sebold,Back Bay Books,2002,$11.95 ,Literature & Fiction
316602051,The Jester,James Patterson,Little Brown & Company,2003,$27.95 ,Literature & Fiction
316602051,,Andrew Gross,,,,
316666343,The Lovely Bones: A Novel,Alice Sebold ,Little Brown & Company,2002,$21.95 ,Literature & Fiction
321125169,ColdFusion MX Web Application Construction Kit,Ben Forta,Macromedia Press,2002,$38.49 ,Computer
321125169,,Nate Weiss,,,,
321125169,,Leon Chalnick,,,,
321125169,,Angela C. Buraglia,,,,
324107501,Advanced Accounting,Paul Marcus Fischer,South-Western College Pub,2001,$112.95 ,Accounting & Finance
324107501,,William James Taylor,,,,
324107501,,Rita Hartung Cheng,,,,
